@ref	@lat	@lon
30071:373	50.0422036	13.2893961
30071:377	49.9565954	13.1560992
30071:378	49.9617665	13.1325726
30071:379	50.0048623	13.1583751
30071:380	50.0074642	13.140611
30071:381	49.9992612	13.1912667
30071:387	49.981924	13.4874835
30071:388	49.981924	13.4874835
30071:389	49.98249	13.485015
30071:390	49.9646976	13.4530735
30071:392	50.00627910000001	13.4271871
30071:393	50.0160048	13.3993613
30071:395	50.0218882	13.450693
30071:396	50.009882	13.5054105
30071:397	49.9710895	13.5389244
30071:398	49.9611824	13.5309489
30071:399	49.9527344	13.5226517
30071:401	49.930388	13.4761481
30071:402	49.943203	13.4643954
30071:405	49.9754508	13.5669094
30071:408	49.9678803	13.6147189
30071:409	49.96062879999999	13.6430342
30071:411	49.9168191	13.5442515
30071:412	49.9168191	13.5442515
30071:413	49.9145806	13.5743918
30071:414	49.9123168	13.5490341
30071:416	50.6203438	15.1868685
30071:418	49.9636806	13.5850787
30071:419	49.9182886	13.5173268
30071:420	49.9015772	13.5340436
30071:421	49.9046315	13.5184422
30071:423	49.9900569	13.4122742
30071:424	49.994673	13.3877589
30071:425	49.9852471	13.3644054
30071:426	50.0076262	13.3520414
30071:427	50.0083867	13.3341625
30071:428	49.9906205	13.3284488
30071:432	49.9938983	13.5410756
30071:440	50.0287137	13.3256972
30071:441	50.028761	13.3803511
30071:442	50.0573928	13.3166342
30071:443	50.0905445	13.315062
30071:444	50.0514527	13.3251136
30071:445	50.0200021	13.369839
30071:471	49.5884102	13.1717881
30071:491	50.060504	12.985071
30071:492	50.060504	12.985071
30071:495	50.0227803	13.0145081
30071:496	50.0099961	12.9511419
30071:498	50.0432484	12.8913625
30071:499	50.030986	12.9212591
30071:500	50.2357316	12.8328493
30071:502	50.2064775	12.7380211
30071:505	50.0841009	12.7751873
30071:506	50.106239	12.8502586
30071:507	50.14860150000001	12.8515805
30071:508	50.1236568	12.845179
30071:509	50.0534318	12.8786747
30071:510	50.0068099	12.9760576
30071:511	50.07074679999999	12.9547518
30071:520	50.0709893	13.1453319
30071:521	50.0515626	13.1706829
30071:523	50.0560164	13.2245664
30071:525	50.0364267	13.1039829
30071:528	50.155722	13.1514347
30071:530	50.14954969999999	13.2337388
30071:533	50.1508483	13.26228
30071:534	50.05480370000001	13.143973
30071:535	50.0595779	13.0691835
30071:537	50.1136681	13.1155989
30071:75	49.74678249999999	13.3230938
30072:10	49.6692003	13.4483423
30072:102	49.8699734	13.5922261
30072:103	49.8812412	13.6061323
30072:104	49.7210821	13.6333246
30072:105	49.70941029999999	13.6497624
30072:107	49.7099273	13.6541098
30072:109	49.6518557	13.2882126
30072:11	49.643071	13.5659475
30072:110	49.6440874	13.285816
30072:111	49.6455454	13.2489515
30072:112	49.6859663	13.2926888
30072:113	49.6579074	13.2576027
30072:114	49.69018879999999	13.4698872
30072:115	49.6955086	13.4945368
30072:116	49.7010612	13.4701796
30072:117	49.692075	13.476066
30072:118	49.6976855	13.4735105
30072:12	49.6300988	13.429146
30072:14	49.605205	13.4792054
30072:15	49.6146235	13.4956642
30072:154	49.6284076	13.3508715
30072:156	49.6189543	13.2384521
30072:159	49.5416574	13.2814568
30072:16	49.6707248	13.5300065
30072:160	49.5251084	13.3023419
30072:161	49.531554	13.3165774
30072:162	49.4965235	13.5813156
30072:164	49.5118934	13.3602561
30072:165	49.5360127	13.3512523
30072:166	49.5604278	13.2986839
30072:167	49.5478252	13.3679606
30072:168	49.5620379	13.33936
30072:169	49.5606518	13.3707523
30072:17	49.6600617	13.5253887
30072:170	49.5528671	13.3934125
30072:171	49.5373642	13.404137
30072:172	49.52109429999999	13.417603
30072:174	49.5335745	13.2238735
30072:176	49.5254443	13.2711159
30072:177	49.5616639	13.2590558
30072:178	49.5761943	13.2390493
30072:179	49.5825854	13.3651701
30072:18	49.6549241	13.477067
30072:180	49.56878039999999	13.3980086
30072:181	49.56602969999999	13.4336317
30072:182	49.5962042	13.4107116
30072:183	49.6057947	13.4092892
30072:184	49.5900627	13.3912002
30072:185	49.5902646	13.404233
30072:186	49.5984705	13.369034
30072:187	49.614179	13.3540506
30072:188	49.6145501	13.3836089
30072:189	49.5821017	13.301574
30072:19	49.6288859	13.4827772
30072:190	49.53724649999999	13.3808446
30072:194	49.63256610000001	13.3132367
30072:2	49.7143456	13.4257988
30072:20	49.6253652	13.4752221
30072:21	49.6755587	13.5039474
30072:22	49.64794269999999	13.397892
30072:228	49.4807895	13.6416985
30072:23	49.6496719	13.4267747
30072:231	49.4924851	13.62652
30072:238	49.4740626	13.4617053
30072:239	49.4585275	13.4698586
30072:24	49.6520644	13.4378146
30072:240	49.4537512	13.4785903
30072:241	49.5210922	13.5075958
30072:242	49.5210922	13.5075958
30072:243	49.5346729	13.518742
30072:244	49.4460825	13.5769649
30072:245	49.5056237	13.7153304
30072:246	49.5063106	13.7352928
30072:247	49.5277652	13.750764
30072:248	49.5344326	13.7257317
30072:249	49.51987930000001	13.6833546
30072:25	49.6243949	13.3965686
30072:250	49.5030748	13.6694817
30072:251	49.5231833	13.6589389
30072:252	49.52748	13.6322397
30072:253	49.5189544	13.6032972
30072:254	49.437209	13.6728309
30072:255	49.5194915	13.5326556
30072:256	49.4820114	13.5031995
30072:257	49.4973423	13.6068231
30072:258	49.4973423	13.6068231
30072:259	49.4858203	13.5800842
30072:26	49.6777944	13.3820481
30072:260	49.4627051	13.7406055
30072:262	49.4393318	13.7560987
30072:263	49.4274796	13.758457
30072:265	49.4265773	13.7280633
30072:266	49.44035840000001	13.7115203
30072:267	49.4664857	13.6852005
